Pathway,Cluster
aac00010,1
aac00020,1
aac00030,1
aac00040,0
aac00051,1
aac00052,1
aac00061,1
aac00071,1
aac00072,0
aac00130,0
aac00230,1
aac00240,1
aac00250,0
aac00270,1
aac00280,0
aac00281,0
aac00290,1
aac00300,0
aac00310,0
aac00330,1
aac00340,0
aac00350,0
aac00360,0
aac00361,0
aac00362,0
aac00364,0
aac00380,0
aac00400,1
aac00401,0
aac00401,0
aac00410,0
aac00430,0
aac00450,0
aac00460,0
aac00471,0
aac00472,0
aac00472,0
aac00473,0
aac00480,0
aac00500,0
aac00520,1
aac00521,0
aac00550,1
aac00561,0
aac00562,0
aac00564,1
aac00590,0
aac00592,0
aac00620,1
aac00621,0
aac00622,0
aac00623,0
aac00624,0
aac00625,0
aac00626,0
aac00627,0
aac00630,0
aac00640,0
aac00642,0
aac00643,0
aac00660,0
aac00670,1
aac00680,0
aac00720,1
aac00730,1
aac00740,0
aac00750,0
aac00760,1
aac00770,1
aac00780,0
aac00785,0
aac00790,2
aac00860,1
aac00900,1
aac00903,0
aac00906,0
aac00910,0
aac00920,0
aac00930,0
aac00970,0
aac01040,0
aac01110,1
aac01110,1
aac01120,1
aac01120,1
aae00010,1
aae00020,1
aae00030,1
aae00040,0
aae00051,0
aae00052,0
aae00052,0
aae00053,0
aae00061,1
aae00071,0
aae00100,1
aae00120,0
aae00130,0
aae00220,1
aae00230,1
aae00240,1
aae00251,0
aae00252,0
aae00260,1
aae00271,1
aae00272,0
aae00280,0
aae00290,1
aae00300,1
aae00310,0
aae00330,0
aae00340,0
aae00350,0
aae00360,0
aae00360,0
aae00361,0
aae00362,0
aae00364,0
aae00380,0
aae00400,1
aae00401,0
aae00401,0
aae00410,0
aae00450,0
aae00460,0
aae00471,0
aae00473,0
aae00480,0
aae00500,2
aae00520,0
aae00521,0
aae00521,0
aae00530,0
aae00540,1
aae00550,1
aae00561,0
aae00562,0
aae00564,0
aae00620,1
aae00624,0
aae00627,0
aae00630,0
aae00632,0
aae00640,0
aae00641,0
aae00660,0
aae00670,1
aae00680,0
aae00710,0
aae00720,0
aae00730,0
aae00740,0
aae00750,0
aae00760,1
aae00770,1
aae00780,1
aae00785,0
aae00790,2
aae00860,1
aae00900,0
aae00903,0
aae00910,0
aae00920,0
aae00970,0
aae01040,1
aau00010,1
aau00020,1
aau00030,1
aau00031,0
aau00040,1
aau00051,1
aau00052,1
aau00053,0
aau00061,1
aau00062,0
aau00062,0
aau00071,1
aau00072,0
aau00100,0
aau00120,0
aau00130,0
aau00150,0
aau00220,1
aau00230,1
aau00240,1
aau00251,1
aau00252,1
aau00260,1
aau00271,1
aau00272,0
aau00280,0
aau00281,0
aau00290,1
aau00300,1
aau00310,0
aau00311,0
aau00330,1
aau00340,1
aau00350,0
aau00360,0
aau00361,0
aau00362,0
aau00363,0
aau00364,0
aau00380,0
aau00400,1
aau00401,0
aau00410,0
aau00430,0
aau00450,1
aau00460,0
aau00471,0
aau00473,0
aau00480,1
aau00500,2
aau00510,0
aau00520,1
aau00521,0
aau00523,0
aau00530,1
aau00531,0
aau00540,0
aau00540,0
aau00550,1
aau00561,0
